chef_index,name,arrondissement,commune,lat,lng,support_count,contradiction_count,external_support_count,weighted_support,weighted_contradiction,weighted_external_support,total_evidence,confidence_score,over_expansion_score,under_claim_score,boundary_shift_score
144,Fidjrossè-Centre,12ème Arrondissement,COTONOU,6.35769307953833,2.370617003655931,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
145,Sodjatinmè-Est,4ème Arrondissement,COTONOU,6.370000904041615,2.459956549025544,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
146,Adjagbo,Ouèdo,ABOMEY-CALAVI,6.479040600159075,2.279968131120424,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
147,Gbégamey-Ahito,11ème Arrondissement,COTONOU,6.364892137068566,2.408136051382299,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
148,Dandji,1er Arrondissement,COTONOU,6.368269807213661,2.478232682918784,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
149,Godomey-N'Gbèho,Godomey,ABOMEY-CALAVI,6.372826762593936,2.340681771621278,0,1,0,0.0,0.85,0.0,1,0.283,0.459,0.0,0.0
150,"Zoundja
",Abomey-Calavi,ABOMEY-CALAVI,6.497410210573912,2.336395432670797,0,0,3,0.0,0.0,2.55,3,0.632,0.0,0.718,0.0
151,Abokicodji-Lagune,4ème Arrondissement,COTONOU,6.364563039358073,2.442342934579337,0,0,1,0.0,0.0,0.6,1,0.283,0.0,0.375,0.0
152,Mèdédjro,8ème Arrondissement,COTONOU,6.38496497297377,2.410203672119639,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
153,Zogbo,9ème Arrondissement,COTONOU,6.392713160062153,2.390598635178596,0,0,3,0.0,0.0,2.55,3,0.632,0.0,0.718,0.0
154,Mifongou,5ème Arrondissement,COTONOU,6.363624629555242,2.42536746152798,0,3,0,0.0,2.05,0.0,3,0.632,0.672,0.0,0.0
155,Gbégamey-Gbagoudo,11ème Arrondissement,COTONOU,6.371445382568357,2.409801846269849,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
156,Agla-Petit-Château,13ème Arrondissement,COTONOU,6.381823623459121,2.372758736668154,0,1,3,0.0,0.6,1.8,4,0.736,0.375,0.643,0.491
157,Midédji,10ème Arrondissement,COTONOU,6.386138179156926,2.392248845494169,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
158,Houénoussou,13ème Arrondissement,COTONOU,6.366684522755474,2.391291312919098,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
159,"Aïdégnon
",Togba,ABOMEY-CALAVI,6.450653681938154,2.3262564549981,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
160,"Zounga
",Godomey,ABOMEY-CALAVI,6.380856682516127,2.292516944311811,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
161,"Abikouholi
",Godomey,ABOMEY-CALAVI,6.373424539923127,2.324371011192158,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
162,Togbin-Fandji,Godomey,ABOMEY-CALAVI,6.354731938914918,2.330312218138574,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
163,Gbéto,5ème Arrondissement,COTONOU,6.360140776698062,2.425342688161394,0,0,6,0.0,0.0,5.1,6,0.865,0.0,0.836,0.0
