A,B,edges,total_length_m,A_share_m,B_share_m
Cadjèhoun-Gare,Cadjèhoun-Kpota,2,131.0,65.5,65.5
Adôgléta,Hlacômey,2,123.7,61.9,61.9
Cocotomey,Logbozounkpa,2,120.3,60.2,60.2
"Agonkanmey
",Sèdomey,1,120.1,60.1,60.1
Donaten,Fifadji-Houto (Jak),2,118.5,59.3,59.3
Suru-Léré,Sènadé,1,115.8,57.9,57.9
Agamandin,Zopah-Kokpo,1,113.4,56.7,56.7
Ahouanlèko,Cadjèhoun-Azalokogon,1,112.7,56.3,56.3
"Plateau
","Sèdjannako
",1,110.6,55.3,55.3
Sèdami,Énagnon-Sikê,1,110.2,55.1,55.1
Cadjèhoun-Détinsa,Gbégamey-Mifongou,1,109.6,54.8,54.8
"Aïmèvo
",Yolomahouto,1,108.9,54.5,54.5
Avotrou-Houézèkomè,Dandji,2,105.0,52.5,52.5
Kpondéhou,Sènadé,1,101.4,50.7,50.7
Djidjè,Hindé-Nord,1,100.5,50.2,50.2
Agongbé,Drabo,2,99.2,49.6,49.6
Ahogbohoué-Cité-Eucharistie,Cadjèhoun-Azalokogon,1,96.5,48.3,48.3
Gbégamey-Gbagoudo,Énagnon-Sikê,1,94.7,47.4,47.4
Fifadji,Missèkplé,1,89.6,44.8,44.8
Dandji,Tchanhounkpamè,1,88.2,44.1,44.1
Irédé,Sènadé-Sèkon,2,87.6,43.8,43.8
"Sodo
",Womey-Yénawa,2,86.4,43.2,43.2
Agontinkon,Minonkpô-Wologuèdè,1,85.5,42.7,42.7
Gbèdjromèdè-Nord,Vossa,2,81.8,40.9,40.9
Cadjèhoun-Aupiais,Cadjèhoun-Azalokogon,2,81.5,40.7,40.7
Adjaha-Cité,Fidjrossè-Centre,2,77.7,38.9,38.9
Dota,Gbéto,1,73.3,36.7,36.7
Ayélawadjè,Ayélawadjè-Agongbomè,1,72.6,36.3,36.3
Missèbô,Nouveau-Pont,1,72.6,36.3,36.3
Irédé,Sodjatinmè-Est,1,70.7,35.4,35.4
Bocossi-Tokpa,Dantôkpa,1,69.8,34.9,34.9
Zongo-Ehuzu,Zongo-Nima,3,69.5,34.7,34.7
Agontinkon,Gbégamey-Gbagoudo,1,68.2,34.1,34.1
"Agonkanmey
","Djoukpa-Togoudo
",1,67.9,34.0,34.0
Agla-Agongbomey,Agla-Les-Pylônes,1,67.3,33.7,33.7
Kpankpan,Sègbèya-Sud,1,67.0,33.5,33.5
Cococodji,Sogan,1,66.7,33.4,33.4
Ayélawadjè-Agongbomè,Sègbèya-Sud,1,66.4,33.2,33.2
Aïdjèdo-Ahito,Jéricho-Nord,1,66.3,33.1,33.1
Domey-Gbo,Zèkanmey-Domè,1,65.3,32.6,32.6
Hêvié,Zoungo,4,64.2,32.1,32.1
Gbégamey-Ahito,Gbégamey-Mifongou,1,62.5,31.3,31.3
"Dénou
",Godomey-N'Gbèho,1,62.5,31.2,31.2
Adôgléta,Kpankpan,1,61.6,30.8,30.8
Agassa-Godomey,Agonmé,1,59.5,29.7,29.7
"Adjamè
",Golo-Djigbé,2,57.3,28.7,28.7
Agla-Agongbomey,"Plateau
",1,55.5,27.7,27.7
"Tchinangbégbo
",Zogbadjè,1,52.1,26.1,26.1
Adjaha-Cité,Aïbatin-Dodo,1,52.1,26.1,26.1
Agamandin,Agori,3,51.4,25.7,25.7
"Maria-Gléta
",Tankpê-Yoho,2,49.8,24.9,24.9
Misséssin,Sodjatinmè-Ouest,2,48.7,24.4,24.4
"Ounvènoumèdé
",Salamey,3,46.7,23.4,23.4
Agontinkon,Tonato,1,45.9,23.0,23.0
Agonmé,Gbétagbo,2,45.4,22.7,22.7
Adôgléta,Sègbèya-Sud,1,45.1,22.6,22.6
Sokan,Zinvié-Fandji,2,42.5,21.3,21.3
"Dénou
","Plateau
",1,42.1,21.1,21.1
