nid,lat,lng,n_quartiers,name_a,dist_a_m,name_b,dist_b_m,others,asymmetry,road_context,primary_highway,n_road_edges,in_roundabout,has_bridge,has_dual_connector_edge,dist_to_water_m,classification
24485,6.391997,2.346554,2,Yolomahouto,123.6,Hlouacomey,210.6,,0.413,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
13772,6.56126,2.298091,2,"Adjamè
",170.5,Golo-Djigbé,260.8,,0.346,road_segment,trunk,2,False,False,False,,PLAUSIBLE_FRONTIER
9055,6.402876,2.339137,2,"Djoukpa-Togoudo
",131.5,Godomey-Togoudo,264.7,,0.503,intersection,residential,3,False,False,False,,SUSPICIOUS_OVERREACH
5987,6.392513,2.451636,2,Minontchou,150.1,Gankpodo,226.5,,0.337,intersection,residential,4,False,False,False,1741.2,PLAUSIBLE_FRONTIER
2119,6.368988,2.416236,2,Sèhogan-Sikê,281.0,Énagnon-Sikê,294.2,,0.045,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
10023,6.365624,2.478457,2,Finagnon,265.7,Dandji,268.7,,0.011,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
3560,6.391095,2.347195,2,Yolomahouto,128.4,Hlouacomey,231.2,,0.445,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
6237,6.38429,2.453546,2,Kpondéhou,174.2,Kpondéhou-Tchèmè,207.8,,0.162,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
47970,6.362598,2.443669,2,Abokicodji-Lagune,212.1,Akpakpa-Dodomè,217.6,,0.025,intersection,secondary,3,False,False,False,339.0,PLAUSIBLE_FRONTIER
24523,6.392864,2.346702,3,Hlouacomey,125.8,Yolomahouto,208.5,"Nonhouénou
",0.397,intersection,residential,4,False,False,False,,MULTI_QUARTIER
9076,6.402391,2.339852,2,Godomey-Togoudo,169.0,"Djoukpa-Togoudo
",227.2,,0.256,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
43913,6.357859,2.438322,2,Guinkômey,127.9,Tokpa-Hoho,133.7,,0.044,road_segment,residential,2,False,False,False,443.2,PLAUSIBLE_FRONTIER
1338,6.365039,2.420095,2,Todoté,268.3,Yévèdo,284.5,,0.057,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
3555,6.390859,2.347879,2,Yolomahouto,144.5,Hlouacomey,280.6,,0.485,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
10789,6.367562,2.39203,2,Houénoussou,126.3,Houéyihô,265.4,,0.524,road_segment,residential,2,False,False,False,,SUSPICIOUS_OVERREACH
27317,6.367576,2.392355,2,Houénoussou,146.2,Houéyihô,207.2,,0.294,road_segment,secondary,2,False,False,False,,PLAUSIBLE_FRONTIER
83891,6.366347,2.442149,2,Dédokpo,145.2,Abokicodji-Lagune,194.2,,0.252,road_segment,secondary,2,False,False,False,359.9,PLAUSIBLE_FRONTIER
24525,6.393321,2.345631,2,"Nonhouénou
",176.3,Hlouacomey,249.1,,0.292,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
580,6.357218,2.437914,2,Guinkômey,128.5,Tokpa-Hoho,173.4,,0.259,road_segment,secondary,2,False,False,False,521.4,PLAUSIBLE_FRONTIER
3603,6.394389,2.346291,2,"Nonhouénou
",156.6,Hlouacomey,226.1,,0.307,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
26280,6.393959,2.448074,2,Agbodjèdo,210.0,Minontchou,299.7,,0.299,road_segment,residential,2,False,False,False,1366.6,PLAUSIBLE_FRONTIER
26315,6.369273,2.442707,3,Dédokpo,163.9,Misséssin,174.3,Gbénonkpô,0.059,intersection,residential,3,False,False,False,537.9,MULTI_QUARTIER
26815,6.368989,2.433257,2,Nouveau-Pont,200.3,Dantôkpa,266.3,,0.248,road_segment,service,2,False,False,False,,PLAUSIBLE_FRONTIER
3477,6.391611,2.353309,2,"Sèdjannako
",198.7,"Finafa
",243.7,,0.185,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
330,6.370802,2.418573,2,Énagnon-Sikê,215.6,Sèhogan-Sikê,248.4,,0.132,intersection,primary,4,False,False,False,,PLAUSIBLE_FRONTIER
47961,6.370323,2.442767,3,Misséssin,141.2,Gbénonkpô,161.9,Dédokpo,0.128,intersection,residential,3,False,False,False,574.9,MULTI_QUARTIER
9658,6.403001,2.34122,2,Sèdomey,161.2,Godomey-Togoudo,170.1,,0.052,road_segment,tertiary,2,False,False,True,,PLAUSIBLE_FRONTIER
4622,6.378783,2.421021,2,Gbèdjromèdè,139.6,Aïdjèdo-Ahito,216.6,,0.355,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
3808,6.366427,2.392992,2,Houénoussou,268.4,Houéyihô,284.5,,0.057,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
3779,6.356366,2.39992,2,Cadjèhoun-Azalokogon,140.6,Haie-Vive-Cocotiers,272.5,,0.484,intersection,primary,3,False,False,True,,PLAUSIBLE_FRONTIER
5986,6.392383,2.452116,2,Gankpodo,171.6,Minontchou,205.1,,0.164,intersection,residential,4,False,False,False,1793.4,PLAUSIBLE_FRONTIER
83687,6.365791,2.390112,2,Houénoussou,153.7,Missité,192.3,,0.201,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
10711,6.367724,2.390725,2,Houénoussou,143.2,Missité,282.6,,0.493,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
45103,6.35583,2.398928,2,Haie-Vive-Cocotiers,192.3,Cadjèhoun-Azalokogon,290.4,,0.338,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
5009,6.367318,2.393266,2,Houéyihô,165.5,Houénoussou,275.6,,0.4,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
27298,6.367508,2.392839,2,Houéyihô,160.4,Houénoussou,193.2,,0.17,road_segment,secondary,2,False,False,True,,PLAUSIBLE_FRONTIER
