lat,lng,offender,off_arr,off_dist_m,off_snap_m,off_snap_edges,off_comp_size,off_path_len,off_used_dual,off_used_roundabout,victim,vic_arr,vic_dist_m,vic_snap_m,vic_snap_edges,vic_comp_size,vic_near_ways,vic_dist_water_m,asymmetry,causes
6.368798,2.413117,Saint-Jean-Gbèdiga,11ème Arrondissement,280.5,10.7,9,90099,6,True,False,Dagbédji-Sikê,7ème Arrondissement,132.1,13.1,3,90099,32,,0.529,dual_carriageway_shortcut
6.368626,2.412903,Saint-Jean-Gbèdiga,11ème Arrondissement,279.9,10.7,9,90099,5,True,False,Dagbédji-Sikê,7ème Arrondissement,132.5,13.1,3,90099,32,,0.527,dual_carriageway_shortcut
6.363406,2.430392,Missité,5ème Arrondissement,229.8,5.7,4,90099,5,True,False,Gbédokpo,5ème Arrondissement,86.5,17.2,3,90099,26,,0.623,dual_carriageway_shortcut
6.37557,2.468157,Yagbé,1er Arrondissement,297.8,10.4,3,90099,6,True,False,Avotrou-Gbègo,1er Arrondissement,147.1,11.9,4,90099,32,,0.506,dual_carriageway_shortcut
6.391682,2.346686,Hlouacomey,Godomey,210.5,6.1,5,90099,9,True,False,Yolomahouto,Godomey,99.6,5.3,4,90099,51,,0.527,dual_carriageway_shortcut
6.39138,2.346844,Hlouacomey,Godomey,265.5,6.1,5,90099,11,True,False,Yolomahouto,Godomey,102.1,5.3,4,90099,51,,0.615,dual_carriageway_shortcut
6.391424,2.346146,Hlouacomey,Godomey,275.1,6.1,5,90099,11,True,False,Yolomahouto,Godomey,108.5,5.3,4,90099,51,,0.606,dual_carriageway_shortcut
6.361803,2.444313,Ohé,4ème Arrondissement,286.9,21.0,3,90099,6,False,False,Akpakpa-Dodomè,4ème Arrondissement,104.2,10.4,2,90099,37,337.1,0.637,graph_artifact_low_edges
6.362717,2.41117,Gbégamey-Mifongou,11ème Arrondissement,293.2,3.4,3,90099,4,True,False,Gbégamey-Centre,11ème Arrondissement,111.3,9.4,4,90099,22,,0.62,dual_carriageway_shortcut
6.392423,2.348122,Yolomahouto,Godomey,271.3,5.3,4,90099,9,False,False,Hlouacomey,Godomey,97.6,6.1,5,90099,51,659.3,0.64,unattributed
6.403038,2.338904,Godomey-Togoudo,Godomey,296.1,4.6,3,90099,5,False,False,"Djoukpa-Togoudo
",Godomey,100.1,12.9,4,90099,44,756.4,0.662,unattributed
6.362515,2.411416,Gbégamey-Mifongou,11ème Arrondissement,272.3,3.4,3,90099,4,False,False,Gbégamey-Centre,11ème Arrondissement,93.5,9.4,4,90099,22,,0.657,unattributed
6.362421,2.411312,Gbégamey-Mifongou,11ème Arrondissement,256.7,3.4,3,90099,3,False,False,Gbégamey-Centre,11ème Arrondissement,109.0,9.4,4,90099,22,,0.576,unattributed
6.378112,2.432862,Djidjè,6ème Arrondissement,297.6,3.9,4,90099,5,False,False,Hindé-Nord,6ème Arrondissement,97.7,7.6,4,90099,27,524.5,0.672,unattributed
6.379306,2.432565,Hindé-Nord,6ème Arrondissement,270.0,7.6,4,90099,5,False,False,Djidjè,6ème Arrondissement,125.2,3.9,4,90099,24,471.5,0.536,unattributed
6.362927,2.44733,Akpakpa-Dodomè,4ème Arrondissement,295.4,10.4,2,90099,8,True,False,Ohé,4ème Arrondissement,101.4,21.0,3,90099,48,639.8,0.657,dual_carriageway_shortcut
6.373714,2.408768,Gbégamey-Gbagoudo,11ème Arrondissement,272.3,13.6,11,90099,4,False,False,Agbondjèdo,8ème Arrondissement,130.8,11.5,4,90099,21,,0.52,unattributed
6.390449,2.347467,Hlouacomey,Godomey,291.9,6.1,5,90099,14,True,False,Yolomahouto,Godomey,106.6,5.3,4,90099,51,,0.635,dual_carriageway_shortcut
6.390578,2.347228,Hlouacomey,Godomey,247.8,6.1,5,90099,12,True,False,Yolomahouto,Godomey,111.7,5.3,4,90099,51,,0.549,dual_carriageway_shortcut
6.389784,2.341877,Salamey,Godomey,291.8,11.0,2,90099,6,False,False,"Aïmèvo
",Godomey,145.1,12.5,3,90099,35,579.1,0.503,unattributed
6.356548,2.399562,Haie-Vive-Cocotiers,12ème Arrondissement,295.0,1.9,3,90099,7,True,False,Cadjèhoun-Azalokogon,12ème Arrondissement,118.2,16.0,4,90099,48,,0.599,dual_carriageway_shortcut
6.362699,2.445881,Akpakpa-Dodomè,4ème Arrondissement,259.7,10.4,2,90099,4,True,False,Ohé,4ème Arrondissement,119.5,21.0,3,90099,48,639.8,0.54,dual_carriageway_shortcut
6.362743,2.445472,Akpakpa-Dodomè,4ème Arrondissement,263.1,10.4,2,90099,4,True,False,Ohé,4ème Arrondissement,122.9,21.0,3,90099,48,639.8,0.533,dual_carriageway_shortcut
6.402876,2.339137,Godomey-Togoudo,Godomey,264.7,4.6,3,90099,4,False,False,"Djoukpa-Togoudo
",Godomey,131.5,12.9,4,90099,44,756.4,0.503,unattributed
6.367562,2.39203,Houéyihô,11ème Arrondissement,265.4,2.0,4,90099,12,True,False,Houénoussou,13ème Arrondissement,126.3,5.3,6,90099,36,,0.524,dual_carriageway_shortcut
