quartier,commune,confidence,area_m2,perimeter_m,road_length_m,n_road_vertices,compactness,n_neighbours,low_confidence_reasons
"Tokpa-Zoungo-Sud
",ABOMEY-CALAVI,HIGH,523097.9,7763.3,8607.2,358,0.109,0,
Alladacomè,ABOMEY-CALAVI,HIGH,76426.8,2205.0,6039.9,320,0.198,0,
Sètôvi,COTONOU,HIGH,201050.4,3207.0,3198.9,102,0.246,0,
Togbin-Fandji,ABOMEY-CALAVI,LOW,2153815.4,28532.2,63839.6,1994,0.033,0,sliver shape (compactness 0.033)
"Abikouholi
",ABOMEY-CALAVI,HIGH,486180.6,5169.2,7022.6,196,0.229,0,
"Cité-les-Palmiers
",ABOMEY-CALAVI,LOW,2498321.9,25638.1,36836.3,1432,0.048,0,sliver shape (compactness 0.048)
Agassa-Godomey,ABOMEY-CALAVI,LOW,2343023.0,32228.9,32170.9,1474,0.028,1,sliver shape (compactness 0.028)
Kpondéhou,COTONOU,HIGH,228917.0,3981.8,3040.6,60,0.181,1,
"Gninkindji
",ABOMEY-CALAVI,HIGH,437327.7,4618.8,7053.7,266,0.258,0,
Alègléta,ABOMEY-CALAVI,HIGH,1236151.9,9451.0,19694.2,864,0.174,1,
Zogbadjè,ABOMEY-CALAVI,HIGH,1213471.1,12633.7,19821.0,642,0.096,0,
Drabo,ABOMEY-CALAVI,LOW,3150401.3,63352.5,36839.6,1864,0.01,0,sliver shape (compactness 0.010)
Lom-Nava,COTONOU,HIGH,229281.4,2744.6,3174.5,66,0.382,0,
Somè,ABOMEY-CALAVI,LOW,2152570.3,30884.1,33982.0,1280,0.028,0,sliver shape (compactness 0.028)
Agonmé,ABOMEY-CALAVI,LOW,1929890.2,31857.4,25380.5,1374,0.024,1,sliver shape (compactness 0.024)
"Yénandjro
",ABOMEY-CALAVI,HIGH,886179.3,7710.9,13730.0,604,0.187,0,
"Hêdomè
",ABOMEY-CALAVI,HIGH,287980.6,4406.8,5004.1,188,0.186,0,
"Nonhouénou
",ABOMEY-CALAVI,HIGH,271142.0,3670.8,5786.7,240,0.253,0,
Fiyégnon-Jacquot,COTONOU,HIGH,799180.9,13527.9,15821.3,510,0.055,0,
Fifadji,COTONOU,HIGH,471647.5,4804.7,9931.7,292,0.257,0,
Yénawa-Fifadji,COTONOU,HIGH,267002.0,3452.8,4371.2,116,0.281,0,
Godomey-Togoudo,ABOMEY-CALAVI,HIGH,203056.6,3148.2,3125.4,104,0.257,0,
Agla-Finafa,COTONOU,HIGH,230508.9,2571.7,4227.4,132,0.438,0,
Sènadé,COTONOU,HIGH,156040.4,2619.8,2159.8,60,0.286,0,
Donaten,COTONOU,HIGH,438742.3,6138.6,6154.2,212,0.146,0,
"Hounzévié
",ABOMEY-CALAVI,LOW,2831207.0,40519.3,38312.0,1854,0.022,0,sliver shape (compactness 0.022)
Lohoussa,ABOMEY-CALAVI,LOW,1212634.0,23075.4,15069.1,770,0.029,0,sliver shape (compactness 0.029)
Dédokpo,COTONOU,HIGH,138042.7,2517.6,2107.6,52,0.274,0,
Fidjrossè-Centre,COTONOU,HIGH,391883.9,5259.8,8992.6,296,0.178,0,
Mènontin,COTONOU,HIGH,800060.3,6841.1,13480.9,430,0.215,1,
Gbèdjromèdè,COTONOU,HIGH,162808.5,3248.9,2878.0,70,0.194,0,
Zopah-Kokpo,ABOMEY-CALAVI,HIGH,1870806.7,19357.8,28437.9,846,0.063,0,
Gankpodo,COTONOU,HIGH,310447.8,3122.0,5733.7,114,0.4,0,
Vossa-Kpodji,COTONOU,HIGH,109593.7,2261.3,1357.8,48,0.269,0,
Énagnon,COTONOU,HIGH,589027.8,8547.1,8681.8,266,0.101,0,
Ahowégodo,ABOMEY-CALAVI,HIGH,70192.8,1777.2,1965.1,70,0.279,0,
Dossounou,ABOMEY-CALAVI,LOW,2347458.6,45522.3,32899.0,1642,0.014,0,sliver shape (compactness 0.014)
Sèmè,ABOMEY-CALAVI,HIGH,1153454.9,10931.7,17104.8,608,0.121,0,
Vodjè-Kpota,COTONOU,HIGH,109231.5,2420.8,2322.4,70,0.234,0,
Djissoukpa,ABOMEY-CALAVI,HIGH,45509.8,1332.0,13777.2,636,0.322,0,
Akpakpa-Dodomè,COTONOU,HIGH,221364.2,3116.8,3738.1,160,0.286,0,
"Aïmèvo
",ABOMEY-CALAVI,HIGH,303028.5,4438.0,4380.2,172,0.193,0,
