qa,qb,name_a,arr_a,name_b,arr_b,n_collisions,shape,extent_m,az_deg,centroid_lat,centroid_lng,median_d_a_m,median_d_b_m,asymmetry_median,highway_types,density_per_100m
112,145,Irédé,2ème Arrondissement,Sodjatinmè-Est,4ème Arrondissement,1,point,0.0,,6.369781,2.45729,265.6,295.3,0.1,residential,
112,145,Irédé,2ème Arrondissement,Sodjatinmè-Est,4ème Arrondissement,1,point,0.0,,6.372645,2.459727,297.3,279.9,0.059,residential|tertiary,
41,67,Védokô,10ème Arrondissement,Sètôvi,10ème Arrondissement,2,intersection,32.2,164.4,6.379616,2.387289,277.3,274.3,0.011,residential,6.2
287,296,Dantôkpa,6ème Arrondissement,Bocossi-Tokpa,5ème Arrondissement,1,point,0.0,,6.36938,2.433919,284.5,204.7,0.28,residential,
287,296,Dantôkpa,6ème Arrondissement,Bocossi-Tokpa,5ème Arrondissement,1,point,0.0,,6.36994,2.433477,210.3,278.9,0.246,primary|residential,
71,147,Cadjèhoun-Détinsa,12ème Arrondissement,Gbégamey-Ahito,11ème Arrondissement,1,point,0.0,,6.36603,2.405807,160.2,288.9,0.445,residential|secondary,
71,147,Cadjèhoun-Détinsa,12ème Arrondissement,Gbégamey-Ahito,11ème Arrondissement,1,point,0.0,,6.364912,2.406347,254.0,233.2,0.082,residential|secondary,
71,147,Cadjèhoun-Détinsa,12ème Arrondissement,Gbégamey-Ahito,11ème Arrondissement,1,point,0.0,,6.365745,2.406352,228.3,220.8,0.033,residential|secondary,
71,147,Cadjèhoun-Détinsa,12ème Arrondissement,Gbégamey-Ahito,11ème Arrondissement,1,point,0.0,,6.36533,2.405978,191.9,295.3,0.35,secondary,
71,147,Cadjèhoun-Détinsa,12ème Arrondissement,Gbégamey-Ahito,11ème Arrondissement,1,point,0.0,,6.366784,2.406691,289.0,263.3,0.089,residential|secondary,
38,42,Lom-Nava,2ème Arrondissement,Kpondéhou-Tchèmè,2ème Arrondissement,1,point,0.0,,6.379742,2.453528,288.1,285.4,0.009,residential,
125,156,Ahogbohoué-Cité-De-l'Expérience,13ème Arrondissement,Agla-Petit-Château,13ème Arrondissement,2,intersection,48.3,-177.8,6.379793,2.37214,261.4,237.0,0.093,residential|tertiary,4.14
104,171,Aïdjèdo,6ème Arrondissement,Jéricho-Nord,6ème Arrondissement,1,point,0.0,,6.377604,2.42524,227.1,236.6,0.04,residential|secondary,
104,171,Aïdjèdo,6ème Arrondissement,Jéricho-Nord,6ème Arrondissement,1,point,0.0,,6.377473,2.424087,294.2,276.2,0.061,residential,
