name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Godomey-Togoudo,ABOMEY-CALAVI,Godomey,6.401429,2.341327,4.6,3,90087,11,7,4,63.6,0,0,4,False,PARTIAL
Yèvié,ABOMEY-CALAVI,Zinvié,6.597264,2.374925,11.1,2,90087,4,4,0,100.0,0,0,0,False,GOOD
Wawata,ABOMEY-CALAVI,Zinvié,6.62534,2.322947,5.3,3,90087,5,3,2,60.0,0,0,0,False,PARTIAL
Agonmé,ABOMEY-CALAVI,Akassato,6.550911,2.338356,1.6,3,90087,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Kolètin,ABOMEY-CALAVI,Akassato,6.570911,2.353408,14.0,4,90087,3,4,1,133.3,0,0,0,False,OSM_DATA_LIMIT
Togbin-Daho,ABOMEY-CALAVI,Godomey,6.354858,2.307201,6.5,3,90087,4,3,1,75.0,0,0,0,False,PARTIAL
Kpotomey,ABOMEY-CALAVI,Zinvié,6.629979,2.35663,13.5,4,90087,8,9,0,112.5,1,0,0,False,GOOD
"Tokpa-Zoungo-Nord
",ABOMEY-CALAVI,Abomey-Calavi,6.433522,2.351276,8.1,4,90087,9,7,2,77.8,6,0,4,False,PARTIAL
Sodjatinmè-Centre,COTONOU,4ème Arrondissement,6.368392,2.454466,5.1,4,90087,8,8,1,100.0,3,0,2,False,GOOD
Avotrou-Gbègo,COTONOU,1er Arrondissement,6.376988,2.468062,11.9,4,90087,10,9,4,90.0,-6,0,4,False,PARTIAL
Kpaviédja,ABOMEY-CALAVI,Kpanroun,6.671214,2.339958,5.3,4,90087,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Gankpodo,COTONOU,2ème Arrondissement,6.39184,2.453549,16.7,4,90087,8,7,1,87.5,0,0,0,False,GOOD
Zinvié-Fandji,ABOMEY-CALAVI,Zinvié,6.613796,2.356809,8.9,3,90087,7,5,2,71.4,0,0,0,False,PARTIAL
"Fignonhou
",ABOMEY-CALAVI,Godomey,6.376257,2.337084,15.1,4,90087,7,6,2,85.7,0,0,0,False,PARTIAL
Gbodjè,ABOMEY-CALAVI,Zinvié,6.594872,2.386427,,0,0,0,0,0,0.0,0,0,0,False,OFF_ROAD
Adovié,ABOMEY-CALAVI,Hêvié,6.424668,2.259279,6.5,5,90087,11,11,0,100.0,2,0,2,False,GOOD
Gbènan,COTONOU,7ème Arrondissement,6.36638,2.423211,5.3,4,90087,4,5,0,125.0,0,0,2,False,GOOD
Gbèdomidji,COTONOU,7ème Arrondissement,6.363787,2.422413,2.2,4,90087,4,5,0,125.0,0,0,2,False,GOOD
Domey-Gbo,ABOMEY-CALAVI,Golo-Djigbé,6.537864,2.324585,10.2,4,90087,7,7,0,100.0,0,0,0,False,GOOD
Adjaha-Cité,COTONOU,13ème Arrondissement,6.36102,2.374064,8.7,2,90087,15,11,4,73.3,-2,0,7,False,PARTIAL
Fidjrossè-Kpota,COTONOU,12ème Arrondissement,6.35811,2.3604,12.6,3,90087,9,7,4,77.8,1,0,0,False,PARTIAL
Cadjèhoun-Aupiais,COTONOU,12ème Arrondissement,6.356654,2.404294,6.1,4,90087,7,8,0,114.3,0,0,2,False,GOOD
"Aïmèvo
",ABOMEY-CALAVI,Godomey,6.389165,2.342289,12.5,3,90087,7,4,3,57.1,0,0,0,False,PARTIAL
Aïdjèdo,COTONOU,6ème Arrondissement,6.379548,2.424858,7.5,4,90087,5,7,0,140.0,0,0,0,False,GOOD
Missité,COTONOU,13ème Arrondissement,6.366179,2.388789,6.4,4,90087,9,9,1,100.0,0,0,0,False,GOOD
Avotrou-Aïmonlonfidé,COTONOU,1er Arrondissement,6.382264,2.472211,2.4,4,90087,8,6,2,75.0,0,0,0,False,PARTIAL
