name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
"Tokpa-Zoungo-Nord
",ABOMEY-CALAVI,Abomey-Calavi,6.433522,2.351276,8.1,4,90099,58,50,14,86.2,49,0,4,False,PARTIAL
Sodjatinmè-Centre,COTONOU,4ème Arrondissement,6.368392,2.454466,5.1,4,90099,73,62,16,84.9,27,0,2,True,PARTIAL
Avotrou-Gbègo,COTONOU,1er Arrondissement,6.376988,2.468062,11.9,4,90099,71,52,22,73.2,1,0,4,False,PARTIAL
Kpaviédja,ABOMEY-CALAVI,Kpanroun,6.671214,2.339958,5.3,4,90099,5,5,0,100.0,0,0,0,False,GOOD
Gankpodo,COTONOU,2ème Arrondissement,6.39184,2.453549,16.7,4,90099,67,56,14,83.6,6,0,0,False,PARTIAL
Zinvié-Fandji,ABOMEY-CALAVI,Zinvié,6.613796,2.356809,8.9,3,90099,61,54,7,88.5,6,0,0,False,PARTIAL
"Fignonhou
",ABOMEY-CALAVI,Godomey,6.376257,2.337084,15.1,4,90099,117,76,42,65.0,1,0,0,False,PARTIAL
Gbodjè,ABOMEY-CALAVI,Zinvié,6.594872,2.386427,,0,0,1,0,1,0.0,0,0,0,False,OFF_ROAD
Adovié,ABOMEY-CALAVI,Hêvié,6.424668,2.259279,6.5,5,90099,72,73,6,101.4,14,0,2,False,PARTIAL
Gbènan,COTONOU,7ème Arrondissement,6.36638,2.423211,5.3,4,90099,52,41,14,78.8,3,0,2,False,PARTIAL
Gbèdomidji,COTONOU,7ème Arrondissement,6.363787,2.422413,2.2,4,90099,58,45,13,77.6,-5,0,2,True,PARTIAL
Domey-Gbo,ABOMEY-CALAVI,Golo-Djigbé,6.537864,2.324585,10.2,4,90099,42,35,9,83.3,5,0,0,False,PARTIAL
Adjaha-Cité,COTONOU,13ème Arrondissement,6.36102,2.374064,8.7,2,90099,85,70,21,82.4,1,0,7,False,PARTIAL
Fidjrossè-Kpota,COTONOU,12ème Arrondissement,6.35811,2.3604,12.6,3,90099,96,63,33,65.6,5,0,0,False,PARTIAL
Cadjèhoun-Aupiais,COTONOU,12ème Arrondissement,6.356654,2.404294,6.1,4,90099,73,38,37,52.1,4,0,2,False,PARTIAL
"Aïmèvo
",ABOMEY-CALAVI,Godomey,6.389165,2.342289,12.5,3,90099,98,65,37,66.3,10,0,0,False,PARTIAL
Aïdjèdo,COTONOU,6ème Arrondissement,6.379548,2.424858,7.5,4,90099,65,50,26,76.9,8,0,0,True,PARTIAL
Missité,COTONOU,13ème Arrondissement,6.366179,2.388789,6.4,4,90099,75,56,21,74.7,5,0,0,False,PARTIAL
Avotrou-Aïmonlonfidé,COTONOU,1er Arrondissement,6.382264,2.472211,2.4,4,90099,85,72,16,84.7,5,0,0,False,PARTIAL
Cadjèhoun-Gare,COTONOU,12ème Arrondissement,6.361853,2.40415,7.5,4,90099,50,29,21,58.0,0,0,0,False,PARTIAL
Adôgléta,COTONOU,3ème Arrondissement,6.385718,2.440328,11.0,4,90099,77,68,13,88.3,5,0,2,True,PARTIAL
Ahouansouri-Agata,COTONOU,6ème Arrondissement,6.382916,2.424336,7.0,5,90099,62,55,10,88.7,4,1,8,True,PARTIAL
Kansounkpa,ABOMEY-CALAVI,Abomey-Calavi,6.507109,2.315061,6.2,3,90099,61,63,7,103.3,10,0,0,False,PARTIAL
Agla-Akplomey,COTONOU,13ème Arrondissement,6.384276,2.35645,4.1,4,90099,79,56,27,70.9,4,0,0,True,PARTIAL
Irédé,COTONOU,2ème Arrondissement,6.372437,2.457055,6.9,8,90099,61,55,11,90.2,2,0,2,True,PARTIAL
"Womey-Centre
",ABOMEY-CALAVI,Godomey,6.405839,2.305494,20.6,3,90099,129,137,13,106.2,35,0,0,False,PARTIAL
Dédokpo,COTONOU,4ème Arrondissement,6.367694,2.442308,17.8,4,90099,57,46,15,80.7,8,0,0,True,PARTIAL
"Sodo
",ABOMEY-CALAVI,Godomey,6.403401,2.294956,7.3,4,90099,99,86,18,86.9,6,0,8,False,PARTIAL
Kpankpan,COTONOU,3ème Arrondissement,6.377175,2.439282,5.2,4,90099,75,57,21,76.0,2,0,2,False,PARTIAL
Tanto,COTONOU,1er Arrondissement,6.367756,2.472004,7.4,5,90099,55,36,20,65.5,1,0,2,False,PARTIAL
Vodjè-Allobatin,COTONOU,11ème Arrondissement,6.369169,2.406858,9.8,5,90099,65,56,19,86.2,16,0,2,True,PARTIAL
Ahouanlèko,COTONOU,12ème Arrondissement,6.353326,2.407532,7.8,2,90099,119,63,57,52.9,-5,1,5,True,PARTIAL
Zèkanmey,ABOMEY-CALAVI,Golo-Djigbé,6.55181,2.304305,3.3,4,90099,22,16,7,72.7,2,0,0,False,PARTIAL
Sènadé,COTONOU,2ème Arrondissement,6.379689,2.457251,2.9,4,90099,79,56,25,70.9,-2,0,0,True,PARTIAL
Agontinkon,COTONOU,8ème Arrondissement,6.377384,2.407534,4.9,4,90099,61,41,25,67.2,1,0,2,False,PARTIAL
Yénawa-Daho,COTONOU,2ème Arrondissement,6.388404,2.472149,15.6,4,90099,62,46,16,74.2,-1,0,0,False,PARTIAL
Avotrou-Houézèkomè,COTONOU,1er Arrondissement,6.376949,2.475943,11.0,6,90099,89,71,21,79.8,3,0,2,False,PARTIAL
Ahogbohoué-Cité-De-l'Expérience,COTONOU,13ème Arrondissement,6.378693,2.373729,25.5,2,90099,82,33,49,40.2,2,0,2,False,PARTIAL
Atrokpo-Codji,ABOMEY-CALAVI,Godomey,6.388,2.321814,11.4,7,90099,137,111,28,81.0,5,0,4,True,PARTIAL
Gbodjoko,ABOMEY-CALAVI,Zinvié,6.58516,2.32281,12.6,3,90099,18,14,5,77.8,-3,0,0,False,PARTIAL
Aïdjèdo-Ahito,COTONOU,6ème Arrondissement,6.377219,2.4219,3.5,5,90099,58,52,8,89.7,-6,0,2,False,PARTIAL
Ahouato,ABOMEY-CALAVI,Ouèdo,6.420382,2.274508,17.8,3,90099,38,33,5,86.8,1,0,0,False,PARTIAL
Xwlacôdji-Plage,COTONOU,5ème Arrondissement,6.352469,2.440702,6.9,3,90099,49,23,26,46.9,-1,0,0,False,PARTIAL
Gbégamey-Dodo-Ayidjè,COTONOU,11ème Arrondissement,6.367586,2.409717,4.8,4,90099,60,47,16,78.3,17,0,0,True,PARTIAL
Hlacômey,COTONOU,3ème Arrondissement,6.388684,2.440824,5.2,4,90099,67,67,8,100.0,2,0,4,True,PARTIAL
Anagbo,ABOMEY-CALAVI,Kpanroun,6.687158,2.338777,2.6,4,90099,6,5,1,83.3,0,0,0,False,GOOD
Zongo-Nima,COTONOU,5ème Arrondissement,6.356251,2.427883,10.6,5,90099,65,56,12,86.2,-2,0,8,True,PARTIAL
Misséssinto,ABOMEY-CALAVI,Akassato,6.515327,2.363089,4.3,4,90099,88,70,19,79.5,10,0,2,True,PARTIAL
"Cité-les-Palmiers
",ABOMEY-CALAVI,Abomey-Calavi,6.479119,2.337516,16.5,3,90099,73,56,19,76.7,1,0,0,False,PARTIAL
Agbatô,COTONOU,3ème Arrondissement,6.393527,2.441546,90.0,3,90099,48,17,34,35.4,10,0,0,False,BROKEN
Kpé,ABOMEY-CALAVI,Kpanroun,6.653408,2.356156,3.7,3,90099,9,8,1,88.9,0,0,0,False,GOOD
Zongo-Ehuzu,COTONOU,5ème Arrondissement,6.352604,2.424037,3.3,5,90099,71,38,35,53.5,1,1,5,False,PARTIAL
Ahouansori-Towéta,COTONOU,6ème Arrondissement,6.387585,2.427553,83.1,2,90099,56,30,28,53.6,6,0,2,False,PARTIAL
Agongbé,ABOMEY-CALAVI,Golo-Djigbé,6.531936,2.308476,67.5,2,90099,35,30,7,85.7,10,0,0,False,PARTIAL
Tokplégbé,COTONOU,1er Arrondissement,6.36473,2.489578,2.9,5,90099,44,37,9,84.1,-1,0,4,True,PARTIAL
"Hounzévié
",ABOMEY-CALAVI,Hêvié,6.423287,2.237042,10.4,3,90099,65,42,24,64.6,2,0,0,False,PARTIAL
